Mês;Hora;Global;Direta;Difusa;Inclinada
1;4;0;0;0;0
1;5;8;0;0;0
1;6;103;17;77;94
1;7;251;62;179;241
1;8;406;147;248;395
1;9;533;230;295;524
1;10;633;307;320;627
1;11;735;378;355;733
1;12;778;406;373;779
1;13;666;334;332;666
1;14;558;247;311;558
1;15;414;181;228;409
1;16;284;107;171;278
1;17;108;24;79;103
1;18;11;0;0;0
1;19;0;0;0;0
1;20;0;0;0;0
1;21;0;0;0;0
2;4;0;0;0;0
2;5;1;0;0;0
2;6;85;14;66;79
2;7;217;55;156;211
2;8;366;140;221;361
2;9;540;274;265;538
2;10;600;332;268;599
2;11;711;356;364;721
2;12;677;350;337;687
2;13;641;320;331;650
2;14;506;232;279;511
2;15;379;143;240;382
2;16;199;58;141;199
2;17;78;15;61;76
2;18;2;0;0;0
2;19;0;0;0;0
2;20;0;0;0;0
2;21;0;0;0;0
3;4;0;0;0;0
3;5;0;0;0;0
3;6;64;12;51;62
3;7;205;76;127;204
3;8;418;211;211;422
3;9;503;230;283;513
3;10;602;292;326;618
3;11;697;415;301;716
3;12;666;335;355;690
3;13;619;337;302;639
3;14;541;286;273;559
3;15;347;144;214;357
3;16;228;90;145;235
3;17;69;21;51;72
3;18;0;0;0;0
3;19;0;0;0;0
3;20;0;0;0;0
3;21;0;0;0;0
4;4;0;0;0;0
4;5;0;0;0;0
4;6;37;8;31;39
4;7;169;60;115;175
4;8;323;127;209;335
4;9;520;315;226;542
4;10;636;383;283;666
4;11;697;443;287;730
4;12;676;386;327;713
4;13;618;394;258;653
4;14;488;264;252;516
4;15;350;192;180;372
4;16;190;83;122;205
4;17;43;19;32;51
4;18;0;0;0;0
4;19;0;0;0;0
4;20;0;0;0;0
4;21;0;0;0;0
5;4;0;0;0;0
5;5;0;0;0;0
5;6;21;0;1;1
5;7;156;67;101;168
5;8;335;192;166;358
5;9;466;290;206;496
5;10;607;422;225;647
5;11;656;453;247;700
5;12;651;439;258;697
5;13;626;445;228;673
5;14;488;329;200;529
5;15;301;166;163;329
5;16;154;69;104;173
5;17;26;0;1;1
5;18;0;0;0;0
5;19;0;0;0;0
5;20;0;0;0;0
5;21;0;0;0;0
6;4;0;0;0;0
6;5;0;0;0;0
6;6;14;0;0;0
6;7;147;76;88;164
6;8;296;196;127;322
6;9;451;320;167;487
6;10;597;441;202;644
6;11;634;475;209;684
6;12;676;538;194;732
6;13;601;453;202;654
6;14;434;319;158;477
6;15;308;208;138;345
6;16;145;80;89;169
6;17;18;0;0;0
6;18;0;0;0;0
6;19;0;0;0;0
6;20;0;0;0;0
6;21;0;0;0;0
7;4;0;0;0;0
7;5;0;0;0;0
7;6;18;0;0;0
7;7;151;76;90;166
7;8;312;192;145;337
7;9;483;335;185;519
7;10;605;448;201;649
7;11;735;603;188;791
7;12;677;500;230;730
7;13;646;511;189;701
7;14;490;355;181;536
7;15;331;232;137;369
7;16;157;92;90;182
7;17;22;0;0;0
7;18;0;0;0;0
7;19;0;0;0;0
7;20;0;0;0;0
7;21;0;0;0;0
8;4;0;0;0;0
8;5;0;0;0;0
8;6;32;10;14;23
8;7;184;98;97;195
8;8;363;229;153;382
8;9;542;362;209;571
8;10;706;534;211;745
8;11;722;531;232;763
8;12;732;553;222;776
8;13;667;492;219;711
8;14;536;391;184;574
8;15;368;239;160;398
8;16;190;102;109;210
8;17;38;21;13;34
8;18;0;0;0;0
8;19;0;0;0;0
8;20;0;0;0;0
8;21;0;0;0;0
9;4;0;0;0;0
9;5;0;0;0;0
9;6;55;13;43;55
9;7;207;86;124;209
9;8;414;241;181;422
9;9;585;390;209;599
9;10;674;439;256;695
9;11;791;565;254;819
9;12;789;556;263;819
9;13;701;481;249;729
9;14;570;381;213;594
9;15;398;235;182;416
9;16;220;102;129;231
9;17;61;23;44;67
9;18;0;0;0;0
9;19;0;0;0;0
9;20;0;0;0;0
9;21;0;0;0;0
10;4;0;0;0;0
10;5;0;0;0;0
10;6;80;18;58;75
10;7;231;63;165;228
10;8;337;118;218;336
10;9;532;291;241;532
10;10;670;393;282;675
10;11;701;385;328;713
10;12;719;405;329;734
10;13;649;353;309;662
10;14;558;274;295;569
10;15;445;235;217;451
10;16;255;87;172;259
10;17;78;19;59;77
10;18;0;0;0;0
10;19;0;0;0;0
10;20;0;0;0;0
10;21;0;0;0;0
11;4;0;0;0;0
11;5;5;0;0;0
11;6;103;17;79;95
11;7;241;69;163;231
11;8;421;175;236;411
11;9;527;230;292;521
11;10;633;316;315;631
11;11;615;242;378;621
11;12;697;347;354;701
11;13;624;296;331;627
11;14;501;220;282;502
11;15;381;157;222;379
11;16;221;68;150;218
11;17;102;24;74;98
11;18;7;0;0;0
11;19;0;0;0;0
11;20;0;0;0;0
11;21;0;0;0;0
12;4;0;0;0;0
12;5;11;0;0;0
12;6;120;28;80;107
12;7;249;84;151;234
12;8;402;175;212;387
12;9;545;253;281;533
12;10;646;342;294;636
12;11;749;416;326;742
12;12;734;444;282;726
12;13;636;352;278;630
12;14;502;218;279;497
12;15;385;162;217;379
12;16;261;92;163;254
12;17;104;16;83;100
12;18;13;0;0;0
12;19;0;0;0;0
12;20;0;0;0;0
12;21;0;0;0;0
