Mês;Hora;Global;Direta;Difusa;Inclinada
1;4;0;0;0;0
1;5;8;0;0;0
1;6;114;0;54;57
1;7;269;36;122;166
1;8;397;93;167;271
1;9;575;185;218;420
1;10;691;266;221;507
1;11;719;265;271;557
1;12;722;267;274;562
1;13;645;230;237;485
1;14;558;156;253;425
1;15;408;100;167;278
1;16;260;32;126;165
1;17;114;0;61;63
1;18;10;0;0;0
1;19;0;0;0;0
1;20;0;0;0;0
1;21;0;0;0;0
2;4;0;0;0;0
2;5;1;0;0;0
2;6;80;1;42;46
2;7;210;25;134;164
2;8;339;70;198;278
2;9;523;172;245;432
2;10;629;225;296;540
2;11;687;254;328;601
2;12;692;253;338;611
2;13;654;240;311;569
2;14;487;141;258;413
2;15;379;95;200;306
2;16;238;44;128;178
2;17;82;2;42;46
2;18;2;0;0;0
2;19;0;0;0;0
2;20;0;0;0;0
2;21;0;0;0;0
3;4;0;0;0;0
3;5;0;0;0;0
3;6;60;7;44;53
3;7;222;64;136;206
3;8;362;128;199;337
3;9;513;213;260;488
3;10;587;261;286;563
3;11;714;374;295;689
3;12;710;330;351;701
3;13;617;282;296;596
3;14;537;247;240;503
3;15;376;132;211;354
3;16;191;60;107;172
3;17;68;12;44;58
3;18;0;0;0;0
3;19;0;0;0;0
3;20;0;0;0;0
3;21;0;0;0;0
4;4;0;0;0;0
4;5;0;0;0;0
4;6;38;20;33;54
4;7;183;85;122;212
4;8;361;197;196;403
4;9;475;258;252;523
4;10;619;352;312;682
4;11;677;431;284;735
4;12;675;421;290;730
4;13;612;371;276;665
4;14;534;334;233;582
4;15;340;173;194;377
4;16;188;88;123;216
4;17;44;36;33;71
4;18;0;0;0;0
4;19;0;0;0;0
4;20;0;0;0;0
4;21;0;0;0;0
5;4;0;0;0;0
5;5;0;0;0;0
5;6;21;1;1;1
5;7;162;115;111;231
5;8;335;250;174;432
5;9;455;320;227;559
5;10;618;493;240;751
5;11;692;545;270;835
5;12;655;490;280;788
5;13;570;416;256;688
5;14;497;387;213;615
5;15;306;203;180;391
5;16;152;99;110;213
5;17;26;1;1;2
5;18;0;0;0;0
5;19;0;0;0;0
5;20;0;0;0;0
5;21;0;0;0;0
6;4;0;0;0;0
6;5;0;0;0;0
6;6;14;0;0;0
6;7;145;128;102;234
6;8;316;268;167;444
6;9;448;386;192;591
6;10;583;523;208;747
6;11;659;587;228;834
6;12;638;540;251;809
6;13;589;515;226;757
6;14;489;457;180;650
6;15;286;218;169;395
6;16;134;121;94;218
6;17;18;0;0;0
6;18;0;0;0;0
6;19;0;0;0;0
6;20;0;0;0;0
6;21;0;0;0;0
7;4;0;0;0;0
7;5;0;0;0;0
7;6;17;0;0;0
7;7;155;158;91;253
7;8;313;275;147;430
7;9;497;476;160;650
7;10;623;555;212;785
7;11;670;609;201;830
7;12;715;675;192;888
7;13;631;580;198;796
7;14;487;471;149;634
7;15;336;316;141;467
7;16;154;149;95;248
7;17;22;0;0;0
7;18;0;0;0;0
7;19;0;0;0;0
7;20;0;0;0;0
7;21;0;0;0;0
8;4;0;0;0;0
8;5;0;0;0;0
8;6;32;21;18;38
8;7;184;123;114;241
8;8;351;244;165;419
8;9;529;407;190;612
8;10;690;540;231;790
8;11;745;583;240;845
8;12;763;597;249;868
8;13;654;497;233;748
8;14;536;399;209;623
8;15;365;245;183;439
8;16;201;142;116;263
8;17;38;35;17;52
8;18;0;0;0;0
8;19;0;0;0;0
8;20;0;0;0;0
8;21;0;0;0;0
9;4;0;0;0;0
9;5;0;0;0;0
9;6;58;17;43;61
9;7;230;102;121;229
9;8;415;207;196;414
9;9;594;344;233;594
9;10;686;409;258;686
9;11;770;491;259;772
9;12;766;455;296;773
9;13;706;426;262;709
9;14;536;288;233;536
9;15;413;219;184;415
9;16;228;96;127;228
9;17;65;25;43;70
9;18;0;0;0;0
9;19;0;0;0;0
9;20;0;0;0;0
9;21;0;0;0;0
10;4;0;0;0;0
10;5;0;0;0;0
10;6;84;4;48;54
10;7;231;54;119;179
10;8;396;129;193;334
10;9;531;196;250;460
10;10;688;312;270;602
10;11;706;292;331;643
10;12;723;316;315;652
10;13;664;269;308;596
10;14;517;187;245;447
10;15;394;120;204;335
10;16;234;51;128;185
10;17;87;4;48;55
10;18;0;0;0;0
10;19;0;0;0;0
10;20;0;0;0;0
10;21;0;0;0;0
11;4;0;0;0;0
11;5;5;0;0;0
11;6;92;0;43;45
11;7;267;43;121;171
11;8;421;123;156;291
11;9;482;152;197;362
11;10;634;264;185;468
11;11;681;264;250;534
11;12;686;252;280;551
11;13;607;230;220;468
11;14;484;148;207;369
11;15;374;98;159;268
11;16;244;39;102;148
11;17;93;0;45;47
11;18;7;0;0;0
11;19;0;0;0;0
11;20;0;0;0;0
11;21;0;0;0;0
12;4;0;0;0;0
12;5;10;0;0;0
12;6;116;0;57;60
12;7;251;24;123;154
12;8;374;68;181;259
12;9;533;136;236;387
12;10;710;253;235;508
12;11;696;218;299;538
12;12;690;235;261;516
12;13;658;211;256;487
12;14;547;149;226;391
12;15;376;65;187;263
12;16;264;31;106;144
12;17;117;0;57;60
12;18;13;0;0;0
12;19;0;0;0;0
12;20;0;0;0;0
12;21;0;0;0;0
